Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
31/08/2023,9388,8142,11374750,11210200,17530,22584950
09/01/2023,11095,10905,13274950,13520150,22000,26795100
09/02/2023,7927,9552,10277050,11202550,17479,21479600
09/03/2023,7108,8116,9476400,10452400,15224,19928800
09/04/2023,7546,7981,10227350,11125050,15527,21352400
09/05/2023,8516,8136,10814200,11318250,16652,22132450
09/06/2023,9385,8963,11263550,11650000,18348,22913550
09/07/2023,8765,7603,10203700,10200150,16368,20403850
09/08/2023,10869,10711,12351500,12811650,21580,25163150
09/09/2023,7695,10206,9671900,11295450,17901,20967350
09/10/2023,7550,8698,10197250,10944300,16248,21141550
09/11/2023,7517,7914,10240600,10981350,15431,21221950
09/12/2023,7438,7764,10215550,10779250,15202,20994800
13/09/2023,7878,8008,10432650,10881400,15886,21314050
14/09/2023,9575,8015,11370800,10971800,17590,22342600
15/09/2023,11461,10632,12849000,12688450,22093,25537450
16/09/2023,8072,9854,10138000,11108100,17926,21246100
17/09/2023,7658,8426,10228900,10855100,16084,21084000
18/09/2023,7429,7488,10024800,10294200,14917,20319000
19/09/2023,7209,7304,9910850,10142000,14513,20052850
20/09/2023,7259,7442,10037550,10452650,14701,20490200
21/09/2023,8183,7584,10140450,10782350,15767,20922800
22/09/2023,10355,9522,12149450,11754750,19877,23904200
23/09/2023,7148,8919,9184750,10640050,16067,19824800
24/09/2023,7160,7827,9766400,10081350,14987,19847750
25/09/2023,7497,7802,10158100,10735650,15299,20893750
26/09/2023,7792,7683,10702800,10517950,15475,21220750
27/09/2023,10693,8524,12144350,11875650,19217,24020000
28/09/2023,14518,10493,15528600,13584600,25011,29113200
29/09/2023,10370,10136,12009450,11131950,20506,23141400
30/09/2023,8218,12673,10613850,13524800,20891,24138650
10/01/2023,7959,9280,10765050,11543700,17239,22308750
10/02/2023,7943,8330,10860050,11132400,16273,21992450
10/03/2023,7439,7824,10439200,10870850,15263,21310050
10/04/2023,7227,7262,10139050,10479700,14489,20618750
10/05/2023,7850,7305,10370050,10399500,15155,20769550
10/06/2023,8541,8875,10744400,11772300,17416,22516700
10/07/2023,7113,8411,9405300,10373950,15524,19779250
10/08/2023,7305,8032,9822050,10408550,15337,20230600
10/09/2023,7813,7792,10288850,10609800,15605,20898650
10/10/2023,7382,7671,9871500,10460650,15053,20332150
10/11/2023,7925,8384,10577600,11620200,16309,22197800
10/12/2023,9605,8278,11313250,11343200,17883,22656450
13/10/2023,11271,10582,12755750,12932750,21853,25688500
14/10/2023,7864,9689,10102500,11115400,17553,21217900
15/10/2023,7801,8476,10505650,10778100,16277,21283750
16/10/2023,7867,8126,10711100,11276150,15993,21987250
17/10/2023,7944,7959,10761400,11030000,15903,21791400
18/10/2023,8115,8131,10714700,11582900,16246,22297600
19/10/2023,10856,8690,12404250,12043650,19546,24447900
20/10/2023,13590,11018,14836600,13764850,24608,28601450
21/10/2023,9153,9934,11023700,11573350,19087,22597050
22/10/2023,8755,8837,10892750,11064950,17592,21957700
23/10/2023,8912,8412,11078400,11046700,17324,22125100
24/10/2023,9502,9969,11587900,11864500,19471,23452400
25/10/2023,7548,9159,9993050,11204150,16707,21197200
26/10/2023,9497,8974,11383900,11793050,18471,23176950
27/10/2023,10503,11012,12867350,13400050,21515,26267400
28/10/2023,5560,5872,7514700,6927350,11432,14442050
